Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
The Shining (1980),http://www.imdb.com/title/tt1560220/,8.4,66,144,"$19,000,000 ",622337,45332952,46220969,13-Jun-80,R,Drama Horror,UK
Doctor Sleep (2019),http://www.imdb.com/title/tt0081505/,7.4,59,152,"$45,000,000 ",14114124,31581712,72381712,8-Nov-19,R,Drama Fantasy Horror,USA
Dogville (2003),http://www.imdb.com/title/tt5606664/,8,60,178,"$10,000,000 ",88855,1535286,16689283,23-Apr-04,R,Crime Drama,Denmark
Manderlay (2005),http://www.imdb.com/title/tt0276919/,7.3,46,139,"$14,200,000 ",15117,78378,674918,3-Jun-05,Not Rated,Drama,Denmark
Dr. No (1962),http://www.imdb.com/title/tt0342735/,7.2,78,110,"$1,100,000 ",None,16067035,16067035,10-Oct-62,PG,Action Adventure Thriller,UK
From Russia with Love (1963),http://www.imdb.com/title/tt0057076/,7.4,84,115,"$2,000,000 ",None,24796765,24808046,27-May-64,PG,Action Adventure Thriller,UK
Goldfinger (1964),http://www.imdb.com/title/tt0058150/,7.7,87,110,"$3,000,000 ",None,51081062,51158864,9-Jan-65,PG,Action Adventure Thriller,UK
Thunderball (1965),http://www.imdb.com/title/tt0059800/,7,64,130,"$9,000,000 ",None,63595658,63595658,22-Dec-65,PG,Action Adventure Thriller,UK
You Only Live Twice (1967),http://www.imdb.com/title/tt0062512/,6.9,61,117,"$9,500,000 ",None,43084787,43084787,13-Jun-67,PG,Action Adventure Thriller,UK
Casino Royale (1967),https://www.imdb.com/title/tt0061452/,5.2,48,131,"$12,000,000 ",None,None,41700000,28-Apr-67,Not Rated,Comedy,UK
On Her Majesty's Secret Service (1969),http://www.imdb.com/title/tt0064757/,6.7,61,142,"$7,000,000 ",None,22774493,22787885,19-Dec-69,PG,Action Adventure Thriller,UK
Diamonds Are Forever (1971),http://www.imdb.com/title/tt0066995/,6.6,59,120,"$7,200,000 ",None,43819547,43819547,17-Dec-71,PG,Action Adventure Thriller,UK
Live and Let Die (1973),http://www.imdb.com/title/tt0070328/,6.8,55,121,"$7,000,000 ",None,35377836,35377836,27-Jun-73,PG,Action Adventure Thriller,UK
The Man with the Golden Gun (1974),http://www.imdb.com/title/tt0071807/,6.8,43,125,"$7,000,000 ",None,20972000,20972000,20-Dec-74,PG,Action Adventure Thriller,UK
The Spy Who Loved Me (1977),http://www.imdb.com/title/tt0076752/,7.1,55,125,"$14,000,000 ",None,46838673,46838673,3-Aug-77,PG,Action Adventure Thriller,UK
Moonraker (1979),http://www.imdb.com/title/tt0079574/,6.3,66,126,"$34,000,000 ",7108344,70308099,210308099,29-Jun-79,PG,Action Adventure Sci-Fi,UK
For Your Eyes Only (1981),http://www.imdb.com/title/tt0082398/,6.8,54,127,"$28,000,000 ",6834967,54812802,54812802,26-Jun-81,PG,Action Adventure Thriller,UK
Octopussy (1983),http://www.imdb.com/title/tt0086034/,6.6,63,131,"$27,500,000 ",8902564,67893619,67893619,10-Jun-83,PG,Action Adventure Thriller,UK
Never Say Never Again (1983),http://www.imdb.com/title/tt0086006/,6.2,68,134,"$36,000,000 ",10958157,55432841,55432841,7-Oct-83,PG,Action Adventure Thriller,UK
A View to a Kill (1985),http://www.imdb.com/title/tt0090264/,6.4,40,131,"$30,000,000 ",10687114,50327960,50327960,24-May-85,PG,Action Adventure Thriller,UK
The Living Daylights (1987),http://www.imdb.com/title/tt0093428/,6.7,60,130,"$40,000,000 ",11051284,51185897,51185897,31-Jul-87,PG,Action Adventure Thriller,UK
Licence to Kill (1989),http://www.imdb.com/title/tt0097742/,6.6,58,133,"$32,000,000 ",8774776,34667015,156167015,14-Jul-89,PG-13,Action Adventure Thriller,UK
GoldenEye (1995),http://www.imdb.com/title/tt0113189/,7.2,65,130,"$60,000,000 ",26205007,106429941,352194034,17-Nov-95,PG-13,Action Adventure Thriller,UK
Tomorrow Never Dies (1997),http://www.imdb.com/title/tt0120347/,6.5,52,119,"$110,000,000 ",25143007,125304276,333011068,19-Dec-97,PG-13,Action Adventure Thriller,UK
