Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Insurgent (2015),https://www.imdb.com/title/tt0108656/,6.2,42,119,$110000000,52263680,130179072,297002527,20 March 2015,PG-13,Action Adventure Sci-Fi,USA
Allegiant (2016),https://www.imdb.com/title/tt0108656/,5.7,33,120,$110000000,29027348,66184051,179246868,18 March 2016,PG-13,Action Adventure Mystery,USA
Rio (2011),https://www.imdb.com/title/tt0108656/,6.9,63,96,$90000000,39225962,143619809,483866518,15 April 2011,G,Animation Adventure Comedy,USA
Rio 2 (2014),https://www.imdb.com/title/tt0108656/,6.3,49,101,$103000000,39327869,131538435,498781117,11 April 2014,G,Animation Adventure Comedy,USA
Jarhead (2005),https://www.imdb.com/title/tt0108656/,7.0,58,125,$72000000,27726210,62658220,97076152,4 November 2005,R,Action Biography Drama,USA
The Best Exotic Marigold Hotel (2011),https://www.imdb.com/title/tt0108656/,7.2,62,124,$10000000,737051,46412041,136836156,25 May 2012,PG-13,Comedy Drama Romance,UK
The Second Best Exotic Marigold Hotel (2015),https://www.imdb.com/title/tt0108656/,6.6,51,122,$10000000,8540370,33078266,85978266,6 March 2015,PG,Comedy Drama,UK
Nymphomaniac: Vol. I (2013),https://www.imdb.com/title/tt0108656/,6.9,64,117,None,158369,785896,13545832,6 March 2014,Not Rated,Drama,Denmark
Nymphomaniac: Vol. II (2013),https://www.imdb.com/title/tt0108656/,6.7,60,124,None,74978,327167,4934725,20 March 2014,Not Rated,Drama,Denmark
The Lego Movie (2014),https://www.imdb.com/title/tt0108656/,7.7,83,100,$60000000,69050279,257760692,468060692,7 February 2014,PG,Animation Action Adventure,USA
The Lego Movie 2: The Second Part (2019),https://www.imdb.com/title/tt0108656/,6.6,65,107,$99000000,34115335,105806508,192306508,8 February 2019,PG,Animation Action Adventure,Denmark
Furious 6 (2013),https://www.imdb.com/title/tt0108656/,7.1,61,130,$160000000,97375245,238679850,788679850,24 May 2013,PG-13,Action Adventure Thriller,USA
Furious 7 (2015),https://www.imdb.com/title/tt0108656/,7.1,67,137,$190000000,147187040,353007020,1515047671,3 April 2015,PG-13,Action Adventure Thriller,USA
The Woman in Black (2012),https://www.imdb.com/title/tt0108656/,6.4,62,95,$17000000,20874072,54333290,128955898,3 February 2012,PG-13,Drama Fantasy Horror,UK
The Woman in Black 2: Angel of Death (2014),https://www.imdb.com/title/tt0108656/,4.8,42,98,$15000000,15027415,26501323,48854305,2 January 2015,PG-13,Drama Horror Thriller,UK
The Trip (2010),https://www.imdb.com/title/tt0108656/,7.0,None,112,None,77904,2030962,3945217,24 April 2011,Not Rated,Comedy Drama,UK
The Trip to Italy (2014),https://www.imdb.com/title/tt0108656/,6.6,75,108,None,71712,2880537,6132875,25 April 2014,Not Rated,Comedy Drama,UK
The Best Man (1999),https://www.imdb.com/title/tt0108656/,6.8,61,120,$9000000,9031660,34102780,34573780,22 October 1999,R,Comedy Drama Romance,USA
The Best Man Holiday (2013),https://www.imdb.com/title/tt0108656/,6.7,59,123,$17000000,30107555,70525195,72835710,15 November 2013,R,Comedy Drama,USA
Agent Cody Banks (2003),https://www.imdb.com/title/tt0108656/,5.0,41,102,$28000000,14064317,47938330,58795814,14 March 2003,PG,Action Adventure Comedy,USA
