,Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
1016,Ninja (2009),https://www.imdb.com/title/tt1182921/,5.5,,86,10000000.0,,,194243.0,2009-10-22,R,Action Thriller,USA
1018,Metropolitan (1990),https://www.imdb.com/title/tt0100142/,7.4,77.0,98,230000.0,46663.0,2960492.0,2960492.0,1990-08-03,PG-13,Comedy Drama Romance,USA
1020,Best of the Best (1989),https://www.imdb.com/title/tt0096913/,6.5,26.0,97,5000000.0,990000.0,1700000.0,1700000.0,1989-11-10,PG-13,Action Drama Sport,USA
1022,Stakeout (1987),https://www.imdb.com/title/tt0094025/,6.6,69.0,117,14500000.0,5170403.0,65673233.0,65673233.0,1987-08-05,R,Action Comedy Crime,USA
1024,The Poseidon Adventure (1972),https://www.imdb.com/title/tt0069113/,7.1,70.0,117,5000000.0,264850.0,84563118.0,84563118.0,1972-12-13,PG,Action Adventure Drama,USA
1026,Survival of the Dead (2009),https://www.imdb.com/title/tt1134854/,4.9,43.0,90,4000000.0,43757.0,101740.0,386078.0,2010-05-06,R,Comedy Drama Horror,USA
1028,Land of the Dead (2005),https://www.imdb.com/title/tt0418819/,6.2,71.0,93,15000000.0,10221705.0,20700082.0,47074133.0,2005-06-24,R,Horror Sci-Fi Thriller,France
1030,Ghost in the Shell (1995),https://www.imdb.com/title/tt0113568/,8.0,76.0,83,10000000.0,2736.0,515905.0,43000000.0,1996-03-29,PG-13,Animation Action Crime,Japan
1032,The Delta Force (1986),https://www.imdb.com/title/tt0090927/,5.6,37.0,125,12000000.0,5959505.0,17768900.0,17768900.0,1986-02-14,R,Action Adventure Drama,USA
1034,"OSS 117: Cairo, Nest of Spies (2006)",https://www.imdb.com/title/tt0464913/,7.1,62.0,99,14000000.0,31418.0,303543.0,37800000.0,2008-05-09,PG-13,Action Adventure Comedy,France
1036,The Ultimate Gift (2006),https://www.imdb.com/title/tt0482629/,7.3,49.0,118,9000000.0,1200000.0,3438735.0,3438735.0,2007-03-09,PG,Drama Family Romance,USA
1038,Night of the Living Dead (1968),https://www.imdb.com/title/tt0063350/,7.9,89.0,96,114000.0,5452.0,236452.0,236452.0,2068-10-04,R,Horror Thriller,USA
1040,Munna Bhai M.B.B.S. (2003),https://www.imdb.com/title/tt0374887/,8.1,,156,1362258.0,48772.0,48772.0,4549945.0,2003-12-19,PG-13,Comedy Drama Musical,India
1042,Trail of the Pink Panther (1982),https://www.imdb.com/title/tt0084814/,5.0,43.0,96,6000000.0,1341695.0,9056073.0,9056073.0,1982-12-17,PG,Comedy Crime Mystery,UK
1044,Children of the Corn (1984),https://www.imdb.com/title/tt0087050/,5.7,45.0,92,800000.0,2042821.0,14568989.0,14568989.0,1984-03-09,R,Horror Thriller,USA
1046,Our Man Flint (1966),https://www.imdb.com/title/tt0059557/,6.5,,108,3525000.0,,,16000000.0,2066-01-16,PG-13,Action Adventure Comedy,USA
1048,I Got the Hook Up (1998),https://www.imdb.com/title/tt0131436/,4.1,,93,3500000.0,3310349.0,10317779.0,10317779.0,1998-05-27,R,Comedy,USA
1050,The Last Picture Show (1971),https://www.imdb.com/title/tt0067328/,8.0,93.0,118,1300000.0,,29133000.0,29146131.0,1971-10-22,R,Drama Romance,USA
1052,Neighbors (2014),https://www.imdb.com/title/tt2004420/,6.3,68.0,97,18000000.0,49033915.0,150157400.0,270665134.0,2014-05-09,R,Comedy,USA
1054,Airport '77 (1977),https://www.imdb.com/title/tt0075648/,5.8,36.0,114,6000000.0,,,30000000.0,1977-03-11,PG,Action Drama Thriller,USA
1056,Wings of Desire (1987),https://www.imdb.com/title/tt0093191/,8.0,79.0,128,3000000.0,17301.0,3333969.0,3404057.0,1988-05-06,PG-13,Drama Fantasy Romance,Germany
1058,Ernest Goes to Camp (1987),https://www.imdb.com/title/tt0092974/,5.5,24.0,92,3000000.0,6171957.0,23509382.0,23509382.0,1987-05-22,PG,Comedy Family,USA
1060,God's Not Dead (2014),https://www.imdb.com/title/tt2528814/,4.7,16.0,113,2000000.0,9217013.0,60755732.0,64676349.0,2014-03-21,PG,Drama,USA
1062,Ek Tha Tiger (2012),https://www.imdb.com/title/tt2016894/,5.5,,132,10200000.0,1139340.0,2347774.0,43600000.0,2012-08-15,R,Action Romance Thriller,India
1064,Funny Girl (1968),https://www.imdb.com/title/tt0062994/,7.4,89.0,151,14100000.0,65560.0,52223306.0,52224263.0,2068-09-19,G,Biography Comedy Drama,USA
1066,Why Did I Get Married? (2007),https://www.imdb.com/title/tt0906108/,5.9,54.0,113,15000000.0,21353789.0,55204525.0,55862886.0,2007-10-12,PG-13,Comedy Drama,USA
1068,Invasion U.S.A. (1985),https://www.imdb.com/title/tt0089348/,5.5,29.0,107,10000000.0,6891609.0,17536256.0,17536256.0,1985-09-27,R,Action Thriller,USA
1070,Pokémon: The First Movie - Mewtwo Strikes Back (1998),https://www.imdb.com/title/tt0190641/,6.3,35.0,96,30000000.0,31036678.0,85744662.0,163644662.0,1999-11-10,G,Animation Action Adventure,Japan
1072,American Ninja (1985),https://www.imdb.com/title/tt0088708/,5.5,20.0,95,1000000.0,3234837.0,10499694.0,10499694.0,1985-08-30,R,Action Adventure Romance,USA
1074,Smoke (1995),https://www.imdb.com/title/tt0114478/,7.4,70.0,112,7000000.0,70744.0,8367636.0,8367636.0,1995-06-09,R,Comedy Drama,Germany
1076,The Haunting in Connecticut (2009),https://www.imdb.com/title/tt0492044/,5.9,33.0,92,10000000.0,23004765.0,55389516.0,77578320.0,2009-03-27,PG-13,Drama Horror Mystery,USA
