Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Carlito's Way: Rise to Power,http://www.imdb.com/title/tt0427038/,2005 Video,5,None,R,Action Crime Drama,100
The Hunt for Eagle One,http://www.imdb.com/title/tt0486597/,2006 Video,3.8,None,R,Action War,88
The Hunt for Eagle One: Crash Point,http://www.imdb.com/title/tt0816527/,2006 Video,3.9,None,R,Action Adventure Thriller,86
The Base,http://www.imdb.com/title/tt0185908/,1999 Video,4.7,None,R,Action Drama,93
Guilty as Charged,http://www.imdb.com/title/tt0236013/,2000 TV Movie,4.4,None,R,Action Adventure,97
Fright Night,http://www.imdb.com/title/tt0089175/,1985,7.1,62,R,Horror Thriller,106
Fright Night Part 2,http://www.imdb.com/title/tt0097390/,1988,5.9,None,R,Comedy Horror Thriller,104
Fright Night,http://www.imdb.com/title/tt1438176/,2011,6.3,64,R,Comedy Horror,106
Fright Night 2,http://www.imdb.com/title/tt2486630/,2013 Video,4.3,None,R,Comedy Horror Thriller,100
Child's Play,http://www.imdb.com/title/tt0094862/,1988,6.6,58,R,Horror Thriller,87
Child's Play 2,http://www.imdb.com/title/tt0099253/,1990,5.8,37,R,Horror Thriller,84
Child's Play 3,http://www.imdb.com/title/tt0103956/,1991,5.1,27,R,Horror Thriller,90
Bride of Chucky,http://www.imdb.com/title/tt0144120/,1998,5.4,48,R,Comedy Horror,89
Seed of Chucky,http://www.imdb.com/title/tt0387575/,2004,4.8,46,R,Comedy Fantasy Horror,87
Curse of Chucky,http://www.imdb.com/title/tt2230358/,2013,5.6,58,R,Horror Thriller,97
Cult of Chucky,http://www.imdb.com/title/tt3280262/,2017,5.2,69,R,Comedy Fantasy Horror,91
Get Smart,http://www.imdb.com/title/tt0425061/,2008,6.5,54,PG-13,Action Adventure Comedy,110
Get Smart 2,http://www.imdb.com/title/tt1304617/,None,None,None,None,Comedy,None
The Dead,http://www.imdb.com/title/tt1386925/,2010,5.7,59,R,Action Adventure Drama,105
The Dead 2: India,http://www.imdb.com/title/tt2917336/,2013,5.1,None,R,Horror,98
The Cell,http://www.imdb.com/title/tt0209958/,2000,6.3,40,R,Horror Sci-Fi Thriller,107
The Cell 2,http://www.imdb.com/title/tt1185837/,2009 Video,2.8,None,R,Horror Sci-Fi Thriller,94
Major League,http://www.imdb.com/title/tt0097815/,1989,7.2,62,R,Comedy Sport,107
Major League II,http://www.imdb.com/title/tt0110442/,1994,5.6,None,PG,Comedy Sport,105
Major League: Back to the Minors,http://www.imdb.com/title/tt0120742/,1998,4.6,None,PG-13,Comedy Sport,100
Mirrors,http://www.imdb.com/title/tt0790686/,2008,6.2,35,R,Horror Mystery,110
Mirrors 2,http://www.imdb.com/title/tt1576699/,2010 Video,4.9,None,R,Horror Mystery,86
Piranha 3D,http://www.imdb.com/title/tt0464154/,2010,5.4,53,R,Comedy Horror,88
Piranha 3DD,http://www.imdb.com/title/tt1714203/,2012,3.7,24,R,Comedy Horror,83
The Hills Have Eyes,http://www.imdb.com/title/tt0454841/,2006,6.4,52,R,Horror Thriller,107
The Hills Have Eyes 2,http://www.imdb.com/title/tt0800069/,2007,5.1,32,R,Horror Thriller,89
I Spit on Your Grave,http://www.imdb.com/title/tt1242432/,2010,6.3,27,R,Horror Thriller,108
I Spit on Your Grave 2,http://www.imdb.com/title/tt2537176/,2013,5.7,None,R,Horror Thriller,106
The Collector,http://www.imdb.com/title/tt0844479/,2009,6.4,29,R,Action Crime Horror,90
The Collection,http://www.imdb.com/title/tt1748227/,2012,6.1,38,R,Action Adventure Crime,82
The Hills Have Eyes,http://www.imdb.com/title/tt0077681/,1977,6.3,64,R,Horror Thriller,90
The Hills Have Eyes Part II,http://www.imdb.com/title/tt0089274/,1984,3.8,25,R,Horror Thriller,86
30 Days of Night,http://www.imdb.com/title/tt0389722/,2007,6.6,53,R,Action Horror Thriller,113
30 Days of Night: Dark Days,http://www.imdb.com/title/tt1320304/,2010 Video,4.4,None,R,Horror Thriller,92
The Mechanic,http://www.imdb.com/title/tt0472399/,2011,6.6,49,R,Action Thriller,93
